nombre,nacionalidad,fecha_nacimiento,equipo_actual
Lewis Hamilton,Reino Unido,1985-01-07,Mercedes
Max Verstappen,Países Bajos,1997-09-30,Red Bull Racing
Charles Leclerc,Mónaco,1997-10-16,Ferrari
Fernando Alonso,España,1981-07-29,Aston Martin
